UID,Category,KW,Web,Emp_count,Sales,Note,KW_search,FB_likes,FB,Position_CH,Impressions,Visits,Value_visitor,Value,Links,Site_count,Capital,Headquarter,City,Registered
CHE-227.954.502,Herstellung von Getranken,Kafi schmitte,http://www.kafischmitte.ch,9,1000000,2016 Juli,2,1463,Y,131070,300,300,0.74,667,29,705,20000,Switzerland,Langnau,2014
,,Kolanda,http://www.kolanda.ch,,,,20,,,160549,322,322,0.3,986,27,855,,Switzerland,,
,,Kung Kaffee,,,,,0,,,,,,,,,,,Switzerland,,
CHE-100.437.343,Herstellung von Getranken,La Columbiana,http://www.lacolumbiana.ch,3,1000000,2016 Juli,0,481,Y,421161,300,300,,660,8,285,,Switzerland,Basel,1989
CHE-105.008.305,Tee/Kaffee/Kakao,La mar,https://lamar-kaffeepads.ch,,,,24,,N,,,,,,,,100000,Switzerland,Zurich,2005
CHE-112.130.360,Herstellung von Getranken,La Semeuse,https://www.lasemeuse.ch,9,10000000,2016 Juli,44,3754,Y,74395,10584,1834,0.61,2144,225,54450,850000,Switzerland,La Chaux-de-Fonds,1900
CHE-115.296.057,Restaurants/Cafe/Imbiss,Lavazza,http://www.lavazza.com,3,10000000,2016 Juli,56,734777,Y,40124,320166,38321,0.75,29570,2176,175500,20000,Switzerland,Zizers,2009
,,Le pedaleur,http://www.lepedaleur.com,,,,0,,,,,,,,,,,Switzerland,,2014
CHE-103.868.024,Detailhandel/Grosshandel/Vertrieb,Leshop,https://www.leshop.ch,100400,500000000,2016 ovember,67,13440,Y,638,463315,124252,0.05,94269,817,102000,,Switzerland,Zurich,1925
,,Linthof,http://www.linthof-kaffee.ch,,,,0,,,,,,,,,,,Switzerland,,
,,Lu cafee,http://www.lucaffe.com,,,,0,,,,,,,,,,,Switzerland,,1996
CHE-103.185.020,Sonstiger ahrungsmittel-/Lebensmittelhandel,Martello,www.moevenpick-cafe.com,49,200000000,2016 Juli,61,,N,,,,,,,,6000000,Switzerland,Baar,2005
,,Mastro lorenzo,http://martello-cafe.com,,,,2,,,24350,15120,1686,0.29,2048,67,66000,,Switzerland,,
CHE-293.158.291,JDE,Merkur,https://www.mastrolorenzo.ch,,,,0,,N,7892,57815,25137,,19567,607,,,Switzerland,Zug,2015
CHE-102.368.492,UCC,Mesob,http://www.merkurkaffee.ch,40,,,37,1356,Y,26141,956,956,0.38,1417,15,14625,,Switzerland,Zollikofen,1905
,,Moevenpick Schweiz AG,,,,,5,,,,,,,,,,,Switzerland,,
CHE-404.470.140,Tee/Kaffee/Kakao,Montepeque,http://www.cafemontepeque.com,9,,,0,1418,Y,,,,,,,,,Switzerland,Effretikon,2014
CHE-101.237.723,Nestle SA,Nescafe,https://www.nescafe.ch,,,,13,34655614,Y,14037,1193,1193,0.34,1556,55,23700,,Switzerland,Vevey,1938
CHE-106.014.627,Unternehmens-/Wirtschaftsberatung,Nespresso,https://www.nespresso.ch,12000,500000000,2016 Dezember,58,5693102,Y,661,23634072,1416277,0.08,1060000,9379,,2000000,Switzerland,Lausanne,1947
CHE-112.254.157,Sonstiger ahrungsmittel-/Lebensmittelhandel,Original food,http://www.originalfood.ch,3,1000000,2016 Juli,0,44,Y,98749,300,300,0.21,585,34,660,20000,Switzerland,Hergiswil,2005
CHE-110.518.026,Herstellung von Getranken,Pausa kaffee,www.pausacaffe.ch,9,1000000,2016 Juli,0,,N,101905,300,300,1.72,758,21,1185,20000,Switzerland,Rivera,2004
,,Quarta caffe,http://www.quartacaffe.com/en/,,,,0,,,97324,358,358,0.41,883,101,1230,,Italy,Lecce,
,,Radical beans,http://www.radicalbeans.ch,,,,0,,,442142,300,300,,743,15,255,,Switzerland,,1997
CHE-102.368.492,UCC,Raygil,http://www.raygil.ch,15,,,0,,N,98840,300,300,1.08,623,44,840,,Switzerland,Baulmes-s/Yverdon,1964
,,Rebel Dia,http://www.chiapas.ch/cafe1.php,,,,,,,,,,,,,,,Switzerland,,
,,Ricklis,https://www.ricklis.ch,,,,0,,,446603,300,300,,705,,,,Switzerland,,
,,roasters,https://www.roasters.ch,,,,20,,,,,,,,,,,Switzerland,,
,,Roestgrad,http://www.roestgrad.ch,,,,0,,,,,,,,,,,Switzerland,,
CHE-102.368.492,UCC,Rosca,http://www.rosca.ch,9,,,15,,N,52545,300,300,0.27,825,29,16050,,Switzerland,Sursee,1954
CHE-101.272.352,Herstellung von pharmazeutischen Produkten,Saprochi,http://www.saprochi.ch,49,100000000,2016 August,0,,N,119576,300,300,0.2,720,13,75,335000,Switzerland,Gland,1935
,,Schweitzer bio cafee,,,,,0,,,,,,,,,,,Switzerland,,
